URL,media,is_nyhed,type_article,date,countries
https://www.bbc.com/sport/cricket/articles/c2dndx94824o,BBC,0,sport,2025-10-11,"Australia, India, Ireland, Pakistan, Portugal, Saudi Arabia, Slovakia, South Africa, Sri Lanka"
https://www.bbc.com/sport/tennis/articles/cz696pywwnlo,BBC,0,sport,2025-10-11,"India, Ireland, Monaco, Portugal, Saudi Arabia, Slovakia, South Africa"
https://www.bbc.com/sport/tennis/articles/c0595lrej50o,BBC,0,sport,2025-10-11,"France, India, Ireland, Italy, Portugal, Saudi Arabia, Slovakia, South Africa, United States of America"
https://www.bbc.com/news/articles/crkjgrvg6z4o,BBC,1,news,2025-10-11,United Kingdom
https://www.bbc.com/news/articles/c98d7p8l9pro,BBC,1,news,2025-10-11,"Japan, Russia, Ukraine, United Kingdom"
https://www.bbc.com/future/article/20251009-rescuing-knowledge-trapped-on-old-floppy-disks,BBC,0,future,2025-10-11,"China, Japan, Namibia, United Kingdom"
https://www.bbc.com/news/articles/cly17834524o,BBC,1,news,2025-10-11,"Hungary, Japan, Kenya, New Zealand, United Kingdom"
https://www.bbc.com/news/articles/czxwvr57424o,BBC,1,news,2025-10-11,"Belgium, Canada, Turkey, United Kingdom, United States of America"
https://www.bbc.com/news/articles/c7492e5x7jzo,BBC,1,news,2025-10-11,NO_COUNTRIES
https://www.bbc.com/news/articles/cn0x7r5k5rdo,BBC,1,news,2025-10-11,NO_COUNTRIES
https://www.bbc.com/news/articles/c3vzgz794wro,BBC,1,news,2025-10-11,"Gambia, India, Kashmir, Pakistan, Russia, Uzbekistan"
https://www.bbc.com/culture/article/20251009-the-secret-history-of-gay-people-in-the-us-military,BBC,0,culture,2025-10-11,"Bulgaria, France, Japan, Mexico, Namibia, United States of America"
https://www.bbc.com/news/articles/crmey4pw9vpo,BBC,1,news,2025-10-11,"Canada, United Kingdom"
https://www.bbc.com/news/articles/cvg42rjjv4zo,BBC,1,news,2025-10-11,NO_COUNTRIES
https://www.bbc.com/news/articles/c4gqnw5r29ro,BBC,1,news,2025-10-11,United Kingdom
https://www.bbc.com/culture/article/20210209-the-worlds-most-misunderstood-novel,BBC,0,culture,2025-10-11,"Italy, Japan, Namibia, Turkey, United States of America"
https://www.bbc.com/culture/article/20231109-riders-to-tackle-the-raunchy-books-britain-loves,BBC,0,culture,2025-10-11,"Italy, Japan, Namibia, Turkey, United Kingdom"
https://www.bbc.com/culture/article/20240503-salvador-dal-talks-about-his-iconic-very-aggressive-moustache,BBC,0,culture,2025-10-11,"Bulgaria, France, Hungary, Japan, Namibia, Spain, Turkey"
https://www.bbc.com/travel/article/20251009-sardinias-sacred-neolithic-fairy-houses,BBC,0,travel,2025-10-11,"Bulgaria, Chile, China, Israel, Italy, Namibia, Portugal, United Kingdom"
https://www.dr.dk/nyheder/penge/trump-gambler-med-oekonomien-spillebordet-maa-i-brug-naar-ambassadoer-taler-om-usa,DR,1,penge,2025-10-11,"China, Denmark, France, Germany, Iceland, United Kingdom, United States of America"
https://www.dr.dk/nyheder/indland/flere-danskere-bliver-hjemme-i-efteraarsferien,DR,1,indland,2025-10-11,"Denmark, Israel, Palestine"
https://www.dr.dk/nyheder/indland/jeg-vil-gaa-saa-langt-som-til-doe-mit-faedreland-manu-sareen-har-meldt-sig-til-hjemmevaernet,DR,1,indland,2025-10-11,Denmark
https://www.dr.dk/sporten/fodbold/landsholdet/hvis-arteta-henter-dig-saa-bevidner-det-om-dine-kvaliteter,DR,0,sporten,2025-10-11,"Belarus, Denmark, Greece"
https://www.dr.dk/nyheder/indland/1000-babyer-fodres-med-bakterie-i-haab-om-goere-fremtidens-boern-sundere,DR,1,indland,2025-10-11,Denmark
https://www.dr.dk/det-bedste-fra-dr/endelig-succes-i-gift-ved-foerste-blik-nu-flytter-de-sammen,DR,0,det-bedste-fra-dr,2025-10-11,"Denmark, Sweden"
https://www.dr.dk/nyheder/udland/analyse-efter-uvelkommen-opmaerksomhed-fra-trump-sender-groenland-og-eu-nu-hinanden-kaerlige-blikke,DR,1,udland,2025-10-11,"China, France, Germany, Greenland, Russia, United Kingdom, United States of America"
https://www.dr.dk/p3/miri-ann-vil-ikke-vaere-kaerester-med-en-pornotaber,DR,0,p3,2025-10-11,NO_COUNTRIES
https://www.dr.dk/nyheder/vejret/saadan-bliver-vejret-i-efteraarsferien-2,DR,1,vejret,2025-10-11,Denmark
https://www.dr.dk/nyheder/kultur/naevn-gaar-ind-i-sag-om-planet-nusa-toej-i-bachelorrette,DR,1,kultur,2025-10-11,Denmark
https://www.dr.dk/nyheder/unge-ukrainske-maend-stroemmer-til-danmark-efter-nye-regler-i-ukraine-det-er-en-ny-situation,DR,1,unge-ukrainske-maend-stroemmer-til-danmark-efter-nye-regler-i-ukraine-det-er-en-ny-situation,2025-10-11,"Denmark, Norway, Poland, Ukraine"
https://www.dr.dk/nyheder/kultur/stjernecast-er-samlet-igen-kan-du-huske-blinkende-lygter-hvor-det-hele-startede,DR,1,kultur,2025-10-11,Denmark
https://www.dr.dk/nyheder/udland/live-hamas-og-israel-enige-om-foerste-del-af-fredsaftale,DR,1,udland,2025-10-11,"Denmark, Israel, Palestine"
https://www.dr.dk/nyheder/udland/jeg-efterlod-min-familie-og-begyndte-gaa-mod-nord-palaestinensere-vender-hjem-til-murbrokker,DR,1,udland,2025-10-11,"Egypt, Israel, Palestine, United Kingdom, United States of America"
https://www.dr.dk/sporten/fodbold/seneste-og-vigtigste-nyt-om-fodbold,DR,0,sporten,2025-10-11,"Belarus, Denmark, Greece, Norway"
https://www.dr.dk/sporten/tennis/seneste-nyt-om-tennis,DR,0,sporten,2025-10-11,Denmark
https://www.dr.dk/nyheder/indland/lejere-kritiserer-hasteevakuering-i-odense-det-var-uhensigtsmaessigt-dramatisk,DR,1,indland,2025-10-11,Denmark
https://www.dr.dk/nyheder/seneste/forsvaret-faar-egen-kajplads-i-nuuk,DR,1,seneste,2025-10-11,"Austria, Belarus, China, Denmark, Egypt, France, Germany, Greece, Greenland, Israel, Lebanon, North Korea, Norway, Palestine, Russia, Spain, Sudan, Sweden, Ukraine, United Kingdom, United States of America, Vietnam"
https://www.dr.dk/nyheder/udland/fransk-premierminister-genudnaevnt-fire-dage-efter-opsigelse-en-demokratisk-skandale-og-ydmygelse,DR,1,udland,2025-10-11,"France, Jordan"
https://www.dr.dk/nyheder/penge/jagten-paa-billige-foedevarer-har-faaet-nikolaj-til-udvikle-en-digital-tilbudsjaeger,DR,1,penge,2025-10-11,Denmark
https://www.dr.dk/nyheder/seneste/naesten-10-procent-af-europas-vilde-bier-risikerer-udryddelse,DR,1,seneste,2025-10-11,"Austria, Belarus, China, Denmark, Egypt, France, Germany, Greece, Greenland, Israel, Lebanon, North Korea, Norway, Palestine, Russia, Spain, Sudan, Sweden, Ukraine, United Kingdom, United States of America, Vietnam"
https://www.dr.dk/nyheder/indland/ny-milliardaftale-sender-specialstyrker-og-nyt-hovedkvarter-til-nuuk,DR,1,indland,2025-10-11,"Denmark, Greenland, Russia, United States of America"
https://www.dr.dk/nyheder/seneste/overblik-se-hvad-de-mange-nye-milliarder-til-forsvaret-og-arktis-skal-bruges-paa,DR,1,seneste,2025-10-11,"Denmark, Greenland"
https://www.dr.dk/sporten/pogacar-har-vaeret-dobbelt-saa-god-som-vingegaard-i-2025,DR,0,sporten,2025-10-11,"Benin, Canada, Denmark, France, Italy, Netherlands, Rwanda, Slovenia, United Arab Emirates, United States of America"
https://www.dr.dk/nyheder/kultur/foerst-smadrer-de-hinanden-bagefter-deler-de-en-pizza-podcast-afdaekker-hemmeligt-kampmiljoe-i,DR,1,kultur,2025-10-11,"Denmark, United States of America"
https://www.dr.dk/sporten/formel1/formel-1-boss-savner-fyret-rival,DR,0,sporten,2025-10-11,"Germany, Netherlands, Norway"
https://www.dr.dk/nyheder/seneste/landets-mindste-kommune-dropper-valgplakater,DR,1,seneste,2025-10-11,"Austria, Belarus, China, Denmark, Egypt, France, Germany, Greece, Greenland, Israel, Lebanon, North Korea, Norway, Palestine, Russia, Spain, Sudan, Sweden, Ukraine, United Kingdom, United States of America, Vietnam"
https://www.dr.dk/sporten/fodbold/svenske-fans-og-medier-gaar-i-flaesket-paa-jon-dahl-efter-endnu-en-skuffelse,DR,0,sporten,2025-10-11,"Denmark, Kosovo, Slovenia, Sweden, Switzerland"
https://www.dr.dk/nyheder/seneste/over-4-200-offentligt-ansatte-mister-jobbet-i-usa,DR,1,seneste,2025-10-11,"Austria, Belarus, China, Denmark, Egypt, France, Germany, Greece, Greenland, Israel, Lebanon, North Korea, Norway, Palestine, Russia, Spain, Sudan, Sweden, Ukraine, United Kingdom, United States of America, Vietnam"
https://www.dr.dk/nyheder/seneste/trump-rasler-med-sablen-og-varsler-yderligere-100-procent-straftold-paa-kina,DR,1,seneste,2025-10-11,"China, South Korea, United States of America"
https://www.dr.dk/nyheder/politik/korrespondent-ny-forsvarsaftale-er-et-plaster-paa-et-bloedende-saar-danmark,DR,1,politik,2025-10-11,"Denmark, Greenland, Ukraine"
https://www.dr.dk/nyheder/politik/danmark-koeber-16-nye-kampfly-og-investerer-milliarder-i-arktis,DR,1,politik,2025-10-11,"Denmark, Greenland, United States of America"
https://www.dr.dk/sporten/haandbold/kongerne-af-champions-league-er-kommet-til-danmark,DR,0,sporten,2025-10-11,Denmark
